observation,date,panel,geo,mean,lower_5,upper_95,draw_sd
1,2023-02-06,UK,UK,2.6617071625074074e6,2.154309705370846e6,3.107114843715775e6,279862.00529799325
2,2023-02-13,UK,UK,2.620921287430228e6,2.199707455414353e6,3.082958461482557e6,271765.5966024721
3,2023-02-20,UK,UK,2.510097938392038e6,2.0604213132843375e6,3.0235275958078816e6,284736.501052776
4,2023-02-27,UK,UK,2.896136206763851e6,2.4206063462270764e6,3.3498014667990827e6,278183.65179851104
5,2023-03-06,UK,UK,2.424953395525402e6,1.988044071985126e6,2.9010536552332337e6,284978.1897242753
6,2023-03-13,UK,UK,2.651421470516396e6,2.1768100070936494e6,3.093113518836578e6,283942.0503962796
7,2023-03-20,UK,UK,2.3389521474942877e6,1.894446814088731e6,2.774148436915346e6,268576.0935079508
8,2023-03-27,UK,UK,2.3597700725289634e6,1.9185123338687038e6,2.8373257840635264e6,279810.5098644575
9,2023-04-03,UK,UK,1.9808147569476378e6,1.5236056891393103e6,2.4217577359778e6,281601.41576196684
10,2023-04-10,UK,UK,1.9062439347422335e6,1.4727740643907993e6,2.3252902685021195e6,264622.7422914897
11,2023-04-17,UK,UK,1.8782710411964708e6,1.4018693780904468e6,2.3635957535586734e6,281759.9056950848
12,2023-04-24,UK,UK,1.8038300349542017e6,1.3497227072025647e6,2.2471701299123312e6,276835.605874102
13,2023-05-01,UK,UK,1.8907062726633048e6,1.3828205007767268e6,2.3417785946429074e6,291988.5943100185
14,2023-05-08,UK,UK,1.5396386638977092e6,1.0969377075446893e6,1.9964009420946632e6,279761.1272701345
15,2023-05-15,UK,UK,1.8135449229897992e6,1.3548190176280264e6,2.3080197407071535e6,279465.3519301179
16,2023-05-22,UK,UK,1.5574273266928466e6,1.115839297682014e6,1.9943888569522658e6,273072.4883986472
17,2023-05-29,UK,UK,1.4403711254824097e6,974479.0579615964,1.8794097422361195e6,279016.6330998765
18,2023-06-05,UK,UK,1.3308469782828102e6,828916.1958188256,1.7877371539204142e6,286106.7225326239
19,2023-06-12,UK,UK,1.561076019607681e6,1.0815632363045767e6,2.060128541719674e6,289306.25122398033
20,2023-06-19,UK,UK,1.2582077733200984e6,797308.5677687492,1.7039620095011997e6,275235.24651032605
21,2023-06-26,UK,UK,1.1802280440540498e6,700131.0983167357,1.6221999765476338e6,275261.92089540296
22,2023-07-03,UK,UK,1.293657166423296e6,833913.6972283025,1.7116147564580464e6,271145.5642998817
23,2023-07-10,UK,UK,998732.0213199168,582937.8488954435,1.4435673056918283e6,260418.57366965277
24,2023-07-17,UK,UK,1.10646381801894e6,654453.2938901365,1.5805244482585476e6,275419.33101529506
25,2023-07-24,UK,UK,1.0300748785969553e6,595507.591299401,1.4554258664664384e6,262895.2819611871
26,2023-07-31,UK,UK,1.0654975051745807e6,611461.6880897018,1.5255128696570538e6,278373.5398861731
27,2023-08-07,UK,UK,882077.4676607983,409244.4561499197,1.3217855578638394e6,279750.5349226926
28,2023-08-14,UK,UK,917084.2638319944,488017.54401127953,1.3330630437712222e6,270579.26611520693
29,2023-08-21,UK,UK,882405.2180488809,441984.4358443378,1.2938665003076075e6,263934.0030346257
30,2023-08-28,UK,UK,802646.4352097585,340582.14334730216,1.246277766725e6,276213.4210946779
31,2023-09-04,UK,UK,1.1997295128061702e6,773883.7664432696,1.623741738226435e6,260811.7198929265
32,2023-09-11,UK,UK,954871.890542416,527811.5802423601,1.395370093216938e6,266632.07453582686
33,2023-09-18,UK,UK,1.059588556839244e6,656860.7032539521,1.5073221745525757e6,256629.26684256954
34,2023-09-25,UK,UK,1.0021255801069565e6,595470.0129414743,1.4189772052757493e6,257351.4325957741
35,2023-10-02,UK,UK,1.267193225931686e6,813815.8774821784,1.7444927657403618e6,288561.8221809854
36,2023-10-09,UK,UK,1.1672503072265459e6,736598.8909684137,1.5961829482488297e6,264551.9251665587
37,2023-10-16,UK,UK,1.6164691397148261e6,1.1261269580815977e6,2.0873390078265504e6,287247.9914170707
38,2023-10-23,UK,UK,1.3657745929193213e6,915800.9754363766,1.7968042242941407e6,275389.13684513996
39,2023-10-30,UK,UK,1.5864956950373934e6,1.1458565238481057e6,2.0287433201123937e6,268755.6802208124
40,2023-11-06,UK,UK,1.5629472643700596e6,1.122023375430142e6,2.0237017062480152e6,269322.6860861026
41,2023-11-13,UK,UK,1.828688711720622e6,1.408763534590892e6,2.2483581588783776e6,263572.51076046063
42,2023-11-20,UK,UK,1.9242508542576828e6,1.4991326916868878e6,2.318260337741736e6,266498.3618799523
43,2023-11-27,UK,UK,1.8026348699906918e6,1.3572838822120882e6,2.259464949755154e6,281230.6001725287
44,2023-12-04,UK,UK,2.24180930125096e6,1.7780365794319243e6,2.7028678807807653e6,272787.89853474067
45,2023-12-11,UK,UK,2.0964211906907738e6,1.6509446122892492e6,2.5345202066270867e6,266606.3907195761
46,2023-12-18,UK,UK,2.80766596415181e6,2.31252800327418e6,3.267879178052078e6,304426.4209147392
47,2023-12-25,UK,UK,2.3787358472326198e6,1.9346019428992043e6,2.8504120544998944e6,279119.9720115512
48,2024-01-01,UK,UK,2.696816477986134e6,2.2297220370343183e6,3.134419719116917e6,280469.60604300816
49,2024-01-08,UK,UK,2.6964762421089713e6,2.2418646398102744e6,3.142523415075285e6,276075.94283820054
50,2024-01-15,UK,UK,3.0126980250225877e6,2.559198318864174e6,3.477743752086827e6,285931.4262517977
51,2024-01-22,UK,UK,2.8031976125124223e6,2.323311424247287e6,3.30695225714514e6,293859.2739709776
52,2024-01-29,UK,UK,2.814634461883252e6,2.313781068595283e6,3.264208227183839e6,286556.67887775257
53,2024-02-05,UK,UK,2.72632302396797e6,2.2934413992349138e6,3.155485516969275e6,273736.00953722495
54,2024-02-12,UK,UK,2.6415409226890816e6,2.1689102515090127e6,3.049798178121145e6,277736.02955255087
55,2024-02-19,UK,UK,2.6758739503662665e6,2.210797166387879e6,3.117102652349178e6,278399.41798621806
56,2024-02-26,UK,UK,2.4428812555223852e6,2.0152866952510544e6,2.869883667050241e6,270129.883323364
57,2024-03-04,UK,UK,2.418284855018973e6,1.9058555686843651e6,2.87832341924761e6,279668.45654189633
58,2024-03-11,UK,UK,2.7901104454043144e6,2.318170527583015e6,3.2257732975882865e6,283558.7271662897
59,2024-03-18,UK,UK,2.91789643324591e6,2.442459694898867e6,3.426630643089999e6,294754.7209876321
60,2024-03-25,UK,UK,2.3239736798276072e6,1.8362150462752075e6,2.832266252438607e6,295245.0545601136
61,2024-04-01,UK,UK,2.1645037615679684e6,1.713895731568685e6,2.649334424084908e6,275953.11626268213
62,2024-04-08,UK,UK,2.2385582045376855e6,1.7733229101719295e6,2.7057751406096527e6,274620.3635967566
63,2024-04-15,UK,UK,2.308326509756998e6,1.8779607397015793e6,2.7434283505911133e6,263830.2936751634
64,2024-04-22,UK,UK,1.7822513863780003e6,1.3225565853718016e6,2.2459653762481725e6,292131.0388564387
65,2024-04-29,UK,UK,1.8556107750768932e6,1.4078332157012415e6,2.3127719561609123e6,274428.7816695006
66,2024-05-06,UK,UK,1.5216049934402707e6,1.0172376929846032e6,1.9525851372436846e6,282397.8455960562
67,2024-05-13,UK,UK,1.8790538475797945e6,1.411602586977362e6,2.3241210422586943e6,286471.92980747484
68,2024-05-20,UK,UK,1.619838995028437e6,1.1809211206706772e6,2.0722693195782516e6,269685.5713047807
69,2024-05-27,UK,UK,1.4200097108670012e6,967019.4228525921,1.8719200836495664e6,273473.3756566406
70,2024-06-03,UK,UK,1.486532019982466e6,1.0222523227715571e6,1.9064085145541453e6,272613.65781728434
71,2024-06-10,UK,UK,1.426663840931925e6,997320.489534573,1.8908919236893181e6,269361.2340590147
72,2024-06-17,UK,UK,1.2519922686241819e6,818899.9692815628,1.7168909579782672e6,271174.9185152458
73,2024-06-24,UK,UK,1.3782384806555642e6,924092.6308535297,1.8535151577984053e6,287723.920160337
74,2024-07-01,UK,UK,1.2827800136707297e6,885047.02049754,1.7233480874033049e6,269911.41200331406
75,2024-07-08,UK,UK,1.1492461937361448e6,654702.3742347864,1.627926469467536e6,287745.37333916
76,2024-07-15,UK,UK,1.3640303882810145e6,938089.4621210143,1.8077595957776569e6,273334.4308687164
77,2024-07-22,UK,UK,1.17040752899185e6,711269.5981224847,1.6557475212711103e6,290342.32754883956
78,2024-07-29,UK,UK,997227.7031865455,573976.0960873929,1.460660737390494e6,273135.08621485
79,2024-08-05,UK,UK,984225.600743809,554524.6654767036,1.4366953978267119e6,277036.4516961226
80,2024-08-12,UK,UK,990115.9648773135,525900.8412606007,1.458659717812936e6,281950.8053130407
81,2024-08-19,UK,UK,1.1052829650602578e6,674175.8500381514,1.5295532885632103e6,265865.459861425
82,2024-08-26,UK,UK,852203.6158003015,380560.52539627935,1.2883904965028013e6,274416.1038018303
83,2024-09-02,UK,UK,1.1996757595415316e6,746954.919355892,1.6283720182395196e6,264454.68794687896
84,2024-09-09,UK,UK,1.0715705611175834e6,663939.748481518,1.5188224078427656e6,261518.4658683353
85,2024-09-16,UK,UK,1.3135564654689825e6,840720.4766446489,1.7725666177692832e6,279930.6228586682
86,2024-09-23,UK,UK,1.07322477178267e6,651974.0544034695,1.539233238912369e6,268045.69274686027
87,2024-09-30,UK,UK,1.377678008403927e6,932910.0815966552,1.8137445510384468e6,279601.25681169285
88,2024-10-07,UK,UK,1.1753367843702666e6,707570.2659304095,1.6313184927388038e6,276334.159781949
89,2024-10-14,UK,UK,1.3972565584355853e6,972631.1752760685,1.8332034087457084e6,253555.24527307868
90,2024-10-21,UK,UK,1.4661606219166676e6,1.052552962388346e6,1.8983059443118433e6,262930.13416998164
91,2024-10-28,UK,UK,1.563118255822091e6,1.1050090819929878e6,2.0218666421007907e6,277358.4674779146
92,2024-11-04,UK,UK,1.5523319133267668e6,1.0977652327028546e6,1.999490954504064e6,276373.8066477862
93,2024-11-11,UK,UK,2.1115947711920417e6,1.6770927459201443e6,2.548926688910896e6,278761.3914028244
94,2024-11-18,UK,UK,1.8332636018211478e6,1.407421878654889e6,2.262258737983011e6,258811.6758148377
95,2024-11-25,UK,UK,2.155973087621058e6,1.7123412833680168e6,2.586750093902616e6,270575.70257747575
96,2024-12-02,UK,UK,1.9878894635944555e6,1.4794414491200258e6,2.4374767373970347e6,289052.3329714835
97,2024-12-09,UK,UK,2.611741817400214e6,2.1503306994341123e6,3.068994654740477e6,273591.8201470947
98,2024-12-16,UK,UK,2.6434023825222207e6,2.1547476826680317e6,3.124900554405557e6,296575.9379647982
99,2024-12-23,UK,UK,2.8151198195658387e6,2.376188147817131e6,3.298108435264962e6,281441.4823419762
100,2024-12-30,UK,UK,2.4220363408682263e6,1.9451887155654528e6,2.9513915695422497e6,304240.7475140694
101,2025-01-06,UK,UK,2.8933561535699633e6,2.441774394259753e6,3.332233375089386e6,277066.6471711679
102,2025-01-13,UK,UK,2.739043163087088e6,2.2821805681057903e6,3.1971867822876154e6,276097.7869277608
103,2025-01-20,UK,UK,3.029388248701858e6,2.618363882157495e6,3.51723890844445e6,268045.87409682624
104,2025-01-27,UK,UK,2.691062648436172e6,2.224138364544109e6,3.135926313139259e6,280157.979363186
105,2023-02-06,FR,FR,2.7074336045254082e6,2.250288492139612e6,3.1720973297395683e6,285951.3838895851
106,2023-02-13,FR,FR,2.6001385020230743e6,2.1486903432523096e6,3.086621473592906e6,283534.1651576099
107,2023-02-20,FR,FR,2.5145481852760334e6,2.0316125730636783e6,2.9879544852436446e6,285945.62546061043
108,2023-02-27,FR,FR,2.9065161939947233e6,2.4305701731094224e6,3.3801882911915565e6,289586.12415204133
109,2023-03-06,FR,FR,2.4107444543267563e6,1.9421990810463931e6,2.8460594972480196e6,280129.2019653261
110,2023-03-13,FR,FR,2.7417321245876364e6,2.2464826131028645e6,3.1707452550120368e6,281640.5153714258
111,2023-03-20,FR,FR,2.3311735256049014e6,1.8509421808261354e6,2.770775541731316e6,269887.14824643556
112,2023-03-27,FR,FR,2.3978502172333025e6,1.916605763014843e6,2.8567806802164167e6,272281.12312985974
113,2023-04-03,FR,FR,2.072313730182353e6,1.617746192249028e6,2.4917120774997743e6,264751.42509510246
114,2023-04-10,FR,FR,1.9152065200423328e6,1.4685833344137555e6,2.3720133956421963e6,269719.38681208796
115,2023-04-17,FR,FR,1.91855900212754e6,1.4948177585215268e6,2.393012947730085e6,280406.6070875081
116,2023-04-24,FR,FR,1.8391722268786172e6,1.376124767982074e6,2.2786163032389153e6,266396.31402681937
117,2023-05-01,FR,FR,1.9399247416422374e6,1.4975707289657926e6,2.4494636463998393e6,277906.00398125633
118,2023-05-08,FR,FR,1.4865740636780846e6,1.010054843774025e6,1.9454928243419973e6,280787.1604206314
119,2023-05-15,FR,FR,1.7551315179182007e6,1.2910295284909753e6,2.2406118896726486e6,288065.68968539673
120,2023-05-22,FR,FR,1.5952923143350605e6,1.132121495491964e6,2.1009041176988636e6,285329.0691278065
121,2023-05-29,FR,FR,1.4697200054775795e6,1.0071740065272015e6,1.9824011714617473e6,299049.18277410953
122,2023-06-05,FR,FR,1.3456904254161175e6,881380.7339152056,1.8281601304878606e6,274218.45099742844
123,2023-06-12,FR,FR,1.5921627359502849e6,1.1185789821833824e6,2.1108453114694245e6,302700.5187570376
124,2023-06-19,FR,FR,1.2981079977678978e6,866256.6692263684,1.7380057442981773e6,262368.2434269904
125,2023-06-26,FR,FR,1.2218507012785557e6,734543.9361396135,1.665593524514052e6,290922.8971042339
126,2023-07-03,FR,FR,1.2997885272055068e6,892175.0785420407,1.7584185871201097e6,268993.3282675448
127,2023-07-10,FR,FR,1.0004250526555929e6,557362.3226829822,1.451829564001481e6,268910.1307620824
128,2023-07-17,FR,FR,1.1190923690046726e6,649881.4931743742,1.5922281777836466e6,291581.2901164209
129,2023-07-24,FR,FR,1.0154367078461462e6,563386.3872461459,1.5065151390037946e6,283285.9523426046
130,2023-07-31,FR,FR,1.0969723444460682e6,640536.1593120507,1.5978740763263123e6,289854.3387337018
131,2023-08-07,FR,FR,968134.8792870346,489749.04441671725,1.3948319371767435e6,272955.57233580726
132,2023-08-14,FR,FR,841152.2659036261,387371.9724540095,1.3022178645881782e6,290160.5397502853
133,2023-08-21,FR,FR,903902.5212664197,452596.7623861914,1.2955206113595865e6,255575.7954312137
134,2023-08-28,FR,FR,911643.4419502569,445103.7480535578,1.3965951790295595e6,293375.96801085817
135,2023-09-04,FR,FR,1.1531920904292876e6,729719.5659648695,1.6053584827742218e6,262611.91434726014
136,2023-09-11,FR,FR,939843.7877584366,509465.1194003654,1.3661005301963962e6,266052.0211278855
137,2023-09-18,FR,FR,1.097694342287895e6,626204.2786349289,1.511377383602842e6,268468.46897142276
138,2023-09-25,FR,FR,1.0157718112550225e6,549424.3500381032,1.4779203617646862e6,274317.44261478545
139,2023-10-02,FR,FR,1.2700637543302719e6,816715.1057811239,1.7062850359041614e6,278847.48787887854
140,2023-10-09,FR,FR,1.1684285383249053e6,682780.8926899233,1.6296303889503318e6,282697.7115761461
141,2023-10-16,FR,FR,1.6207437524552282e6,1.1532467988352776e6,2.0871213242384798e6,282048.54196881794
142,2023-10-23,FR,FR,1.352232703640279e6,924990.4166488887,1.8051105774212407e6,273505.5900889175
143,2023-10-30,FR,FR,1.5389928269440203e6,1.0974385543758597e6,2.0146234343122332e6,275561.5388480527
144,2023-11-06,FR,FR,1.50447227991695e6,982436.7868165165,1.9878686704083197e6,292780.4205326446
145,2023-11-13,FR,FR,1.8426677355913264e6,1.3897050608433995e6,2.268309588331366e6,279696.13742625504
146,2023-11-20,FR,FR,1.9340224286630235e6,1.4972185708157176e6,2.384088541174055e6,276220.4134114382
147,2023-11-27,FR,FR,1.9164388216922367e6,1.398133241831745e6,2.38210465296042e6,279066.1439303169
148,2023-12-04,FR,FR,2.2718862686797893e6,1.7888006611204958e6,2.7234246340438006e6,294126.5272048627
149,2023-12-11,FR,FR,2.101654493917237e6,1.63570504622321e6,2.5739264258379764e6,290915.840677416
150,2023-12-18,FR,FR,2.8199351139753372e6,2.326182399251208e6,3.2823143839878803e6,296231.518078487
151,2023-12-25,FR,FR,2.486759890675927e6,2.0223927157890138e6,2.974211612345564e6,288584.66377088526
152,2024-01-01,FR,FR,2.7870030813519415e6,2.3502084251804505e6,3.2323357446115916e6,269649.9066387965
153,2024-01-08,FR,FR,2.7053787338353083e6,2.217248475486237e6,3.1511203897755044e6,280920.0800314294
154,2024-01-15,FR,FR,3.0228741881732764e6,2.5611640369064515e6,3.468837312095494e6,281728.9349490952
155,2024-01-22,FR,FR,2.7979764102180963e6,2.293842698921729e6,3.2140369790886943e6,277273.4490609879
156,2024-01-29,FR,FR,2.855377296748161e6,2.427700547411165e6,3.3452670738473013e6,281885.0681550051
